Name,Known As,Born,Career,Matches,Inns,Runs,100s,HS,Bat Avg,Wkts,4W,Bowl Avg,E/R,Best,Country,Format
J P Yadav,Jai Yadav,07/11/1974,2002-2005,12,7,81,0,69*,20.25,6,0,54.33,4.94,2/32,IND,O
N S Yadav,Nandlal Yadav,26/01/1957,1986-1987,7,2,1,0,1,0.00,8,0,28.50,4.15,2/18,IND,O
S A Yadav*,Suryakumar Yadav,14/09/1990,2021-,37,35,773,0,72,25.77,0,0,-,8.50,0/17,IND,O
U T Yadav*,Umesh Yadav,25/10/1987,2010-2018,75,24,79,0,18,7.90,106,4,33.63,6.01,4/31,IND,O
V Yadav,Vijay Yadav,14/03/1967,1992-1994,19,12,118,0,34,11.80,0,0,-,-,,IND,O
Yashpal Sharma,Yashpal Sharma,11/08/1954,1978-1985,42,40,883,0,89*,28.48,1,0,199.00,5.94,1/27,IND,O
Yograj Singh,Yograj Singh,25/03/1958,1980-1981,6,4,1,0,1*,0.50,4,0,46.50,4.57,2/44,IND,O
T Yohannan,Tinu Yohannan,18/02/1979,2002-2002,3,2,7,0,5,0.00,5,0,24.40,6.10,3/33,IND,O
Yuvraj Singh,Yuvraj Singh,12/12/1981,2000-2017,301,275,8609,14,150*,36.48,110,3,38.43,5.08,5/31,IND,O
Total Players = 259,,,,,,,,,,,,,,,IND,O
