Name,Known As,Born,Career,Matches,Inns,Runs,100s,HS,Bat Avg,Wkts,4W,Bowl Avg,E/R,Best,Country,Format
H H Gibbs,Herschelle Gibbs,23/02/1974,1996-2010,248,240,8094,21,175*,36.13,0,0,-,-,,SAF,O
A J Hall,Andrew Hall,31/07/1975,1999-2007,88,56,905,0,81*,21.05,95,4,26.47,4.52,5/18,SAF,O
Z Hamza*,Zubayr Hamza,19/06/1995,2021-2021,1,1,56,0,56*,56.00,0,0,-,-,,SAF,O
P L Harris,Paul Harris,02/11/1978,2008-2008,3,0,0,0,0*,0.00,3,0,27.67,2.77,2/30,SAF,O
M Hayward,Nantie Hayward,06/03/1977,1998-2002,21,5,12,0,4*,3.00,21,1,40.86,5.18,4/31,SAF,O
C W Henderson,Claude Henderson,14/06/1972,2001-2001,4,0,0,0,0*,0.00,7,1,18.86,3.65,4/17,SAF,O
B E Hendricks*,Beuran Hendricks,08/06/1990,2019-,10,4,24,0,18*,8.00,10,0,34.60,5.38,3/59,SAF,O
R R Hendricks*,Reeza Hendricks,14/08/1989,2018-,38,38,974,1,102*,27.06,1,0,47.00,6.71,1/13,SAF,O
O Henry,Omar Henry,23/01/1952,1992-1992,3,3,20,0,11*,10.00,2,0,62.50,5.03,1/31,SAF,O
A C Hudson,Andrew Hudson,17/03/1965,1991-1997,89,88,2559,2,161*,29.41,0,0,-,3.00,0/3,SAF,O
Imran Tahir,Imran Tahir,27/03/1979,2011-2019,107,36,157,0,29*,7.85,173,10,24.84,4.65,7/45,SAF,O
C A Ingram,Colin Ingram,03/07/1985,2010-2013,31,29,843,3,124*,32.42,0,0,-,17.00,0/17,SAF,O
S D Jack,Steven Jack,04/08/1970,1994-1995,2,2,7,0,6*,3.50,3,0,28.67,4.78,2/41,SAF,O
M Jansen*,Marco Jansen,01/05/2000,2022-,29,24,464,0,75,24.42,45,1,32.49,6.28,5/39,SAF,O
